StdBlock,StdLabel,Batch,Rank,Word,Definition,POS,Syllables,Band,Difficulty,IPA,English_Approx,Phonetic_Difficulty
1,N1,1,1,ու,and,noun,1,1-100,1.1,v~ɔu,v/o oo,2.0
1,N1,1,2,որ,which,noun,1,1-100,1.1,v~ɔɾ,v/o r,2.0
1,N1,1,8,իր,"his, her, its",noun,1,1-100,1.1,iɾ,ee r,2.0
1,N1,1,12,մէջ,"in, among",noun,1,1-100,1.1,m?tʃ,m ? ch,1.0
1,N1,1,13,նա,"he, him",noun,1,1-100,1.1,n?,n ?,1.0
1,N1,1,15,մեր,our,noun,1,1-100,1.1,mɛ~jɛɾ,m e/ye r,2.0
1,N1,1,16,ոչ,no,noun,1,1-100,1.1,v~ɔtʃ,v/o ch,2.0
1,N1,1,24,նոր,new,noun,1,1-100,1.1,nv~ɔɾ,n v/o r,2.0
1,N1,1,26,մեծ,"big, great",noun,1,1-100,1.1,mɛ~jɛdz,m e/ye dz,2.0
1,N1,1,30,կամ,or,noun,1,1-100,1.1,k?m,k ? m,1.0
1,N1,1,37,չի,"s, he, it doesn't",noun,1,1-100,1.1,tʃi,ch ee,1.0
1,N1,1,47,ինչ,what,noun,1,1-100,1.1,intʃ,ee n ch,1.0
1,N1,1,48,շատ,"a lot, very, many",noun,1,1-100,1.1,ʃ?d,sh ? d,1.0
1,N1,1,52,հա,yeah,noun,1,1-100,1.1,h?,h ?,1.0
1,N1,1,53,էջ,page,noun,1,1-100,1.1,?tʃ,? ch,1.0
1,N1,1,55,հետ,with,noun,1,1-100,1.1,hɛ~jɛd,h e/ye d,1.0
1,N1,1,56,երբ,when,noun,1,1-100,1.1,ɛ~jɛɾp,e/ye r p,2.0
1,N1,1,71,իմ,my,noun,1,1-100,1.1,im,ee m,1.0
1,N1,1,82,օր,day,noun,1,1-100,1.1,oɾ,o r,2.0
1,N1,1,83,բան,thing,noun,1,1-100,1.1,p?n,p ? n,1.0
2,N2,1,84,ուր,where,noun,1,1-100,1.1,v~ɔuɾ,v/o oo r,2.0
2,N2,1,94,առ,take(!),noun,1,1-100,1.1,?r,? r (trilled),3.3
2,N2,1,95,մենք,we,noun,1,1-100,1.1,mɛ~jɛnk,m e/ye n k,1.0
2,N2,1,100,քան,than,noun,1,1-100,1.1,k?n,k ? n,1.0
2,N2,2,4,էր,[No definition],unknown,1,1-100,1.35,?ɾ,? r,2.0
2,N2,2,6,մի,[No definition],unknown,1,1-100,1.35,mi,m ee,1.0
2,N2,2,7,կը,[No definition],unknown,1,1-100,1.35,k?,k ?,1.0
2,N2,2,14,էլ,[No definition],unknown,1,1-100,1.35,?l,? l,1.0
2,N2,2,19,ին,[No definition],unknown,1,1-100,1.35,in,ee n,1.0
2,N2,2,21,մեջ,[No definition],unknown,1,1-100,1.35,mɛ~jɛtʃ,m e/ye ch,1.0
2,N2,2,22,ար,[No definition],unknown,1,1-100,1.35,?ɾ,? r,2.0
2,N2,2,25,իսկ,[No definition],unknown,1,1-100,1.35,isk,ee s k,1.0
2,N2,2,27,ալ,access-restricted; nayiri; com,unknown,1,1-100,1.35,?l,? l,1.0
2,N2,2,29,կան,[No definition],unknown,1,1-100,1.35,k?n,k ? n,1.0
2,N2,2,32,թե,[No definition],unknown,1,1-100,1.35,tɛ~jɛ,t e/ye,1.0
2,N2,2,39,ել,[No definition],unknown,1,1-100,1.35,ɛ~jɛl,e/ye l,1.0
2,N2,2,40,մը,[No definition],unknown,1,1-100,1.35,m?,m ?,1.0
2,N2,2,41,թէ,[No definition],unknown,1,1-100,1.35,t?,t ?,1.0
2,N2,2,42,եր,[No definition],unknown,1,1-100,1.35,ɛ~jɛɾ,e/ye r,2.0
2,N2,2,43,կա,[No definition],unknown,1,1-100,1.35,k?,k ?,1.0
3,N3,2,50,նան,[No definition],unknown,1,1-100,1.35,n?n,n ? n,1.0
3,N3,2,66,էն,[No definition],unknown,1,1-100,1.35,?n,? n,1.0
3,N3,2,69,դա,[No definition],unknown,1,1-100,1.35,t?,t ?,1.0
3,N3,2,72,չեն,[No definition],unknown,1,1-100,1.35,tʃɛ~jɛn,ch e/ye n,1.0
3,N3,2,76,սա,[No definition],unknown,1,1-100,1.35,s?,s ?,1.0
3,N3,2,78,մա,[No definition],unknown,1,1-100,1.35,m?,m ?,1.0
3,N3,2,86,բա,[No definition],unknown,1,1-100,1.35,p?,p ?,1.0
