Batch,Rank,Word,Definition,POS,Syllables,Band,Difficulty
1,1,ու,[No definition],noun,1,1-100,1.1
1,2,որ,[No definition],noun,1,1-100,1.1
1,3,են,[No definition],noun,1,1-100,1.1
1,5,եւ,access-restricted; nayiri; com,noun,2,1-100,2.0
1,8,իր,[No definition],noun,1,1-100,1.1
1,9,ան,access-restricted; nayiri; com,noun,1,1-100,1.1
1,10,այն,[No definition],noun,2,1-100,2.0
1,11,այդ,[No definition],noun,2,1-100,2.0
1,12,մէջ,[No definition],noun,1,1-100,1.1
1,13,նա,[No definition],noun,1,1-100,1.1
1,15,մեր,[No definition],noun,1,1-100,1.1
1,16,ոչ,[No definition],noun,1,1-100,1.1
1,18,այս,[No definition],noun,2,1-100,2.0
1,23,ես,access-restricted; nayiri; com,noun,1,1-100,1.1
1,24,նոր,[No definition],noun,1,1-100,1.1
1,26,մեծ,[No definition],noun,1,1-100,1.1
1,28,համար,[No definition],noun,2,1-100,2.0
1,30,կամ,[No definition],noun,1,1-100,1.1
1,36,մասին,[No definition],noun,2,1-100,2.0
1,37,չի,[No definition],noun,1,1-100,1.1
1,38,բայց,[No definition],noun,2,1-100,2.0
1,44,միայն,[No definition],noun,3,1-100,2.9
1,47,ինչ,[No definition],noun,1,1-100,1.1
1,48,շատ,[No definition],noun,1,1-100,1.1
2,52,հա,[No definition],noun,1,1-100,1.1
2,53,էջ,[No definition],noun,1,1-100,1.1
2,54,իրենց,[No definition],noun,2,1-100,2.0
2,55,հետ,[No definition],noun,1,1-100,1.1
2,56,երբ,[No definition],noun,1,1-100,1.1
2,58,եմ,[No definition],noun,1,1-100,1.1
2,59,հայ,[No definition],noun,2,1-100,2.0
2,61,չէ,[No definition],noun,1,1-100,1.1
2,64,առաջին,[No definition],noun,3,1-100,2.9
2,68,երկու,[No definition],noun,2,1-100,2.0
2,70,վրայ,[No definition],noun,3,1-100,2.9
2,71,իմ,[No definition],noun,1,1-100,1.1
2,73,կարող,[No definition],noun,2,1-100,2.0
2,77,ժամանակ,[No definition],noun,3,1-100,2.9
2,82,օր,[No definition],noun,1,1-100,1.1
2,83,բան,[No definition],noun,1,1-100,1.1
2,84,ուր,[No definition],noun,1,1-100,1.1
2,87,պետք,[No definition],noun,2,1-100,2.0
2,90,առաջ,[No definition],noun,2,1-100,2.0
2,94,առ,[No definition],noun,1,1-100,1.1
2,95,մենք,[No definition],noun,1,1-100,1.1
2,97,քանի,[No definition],noun,2,1-100,2.0
2,98,պիտի,[No definition],noun,2,1-100,2.0
2,100,քան,[No definition],noun,1,1-100,1.1
2,4,էր,[No definition],unknown,1,1-100,1.35
2,6,մի,[No definition],unknown,1,1-100,1.35
2,7,կը,[No definition],unknown,1,1-100,1.35
2,14,էլ,[No definition],unknown,1,1-100,1.35
2,17,աա,access-restricted; nayiri; com,unknown,2,1-100,2.25
2,19,ին,[No definition],unknown,1,1-100,1.35
3,20,էին,[No definition],unknown,2,1-100,2.25
3,21,մեջ,[No definition],unknown,1,1-100,1.35
3,22,ար,[No definition],unknown,1,1-100,1.35
3,25,իսկ,[No definition],unknown,1,1-100,1.35
3,27,ալ,access-restricted; nayiri; com,unknown,1,1-100,1.35
3,29,կան,[No definition],unknown,1,1-100,1.35
3,31,նրա,[No definition],unknown,2,1-100,2.25
3,32,թե,[No definition],unknown,1,1-100,1.35
3,33,բոլոր,[No definition],unknown,2,1-100,2.25
3,34,ավելի,[No definition],unknown,3,1-100,3.15
3,35,այլ,[No definition],unknown,2,1-100,2.25
3,39,ել,[No definition],unknown,1,1-100,1.35
3,40,մը,[No definition],unknown,1,1-100,1.35
3,41,թէ,[No definition],unknown,1,1-100,1.35
3,42,եր,[No definition],unknown,1,1-100,1.35
3,43,կա,[No definition],unknown,1,1-100,1.35
3,45,կր,[No definition],unknown,2,1-100,2.25
3,46,վրա,[No definition],unknown,2,1-100,2.25
3,49,ճամար,[No definition],unknown,2,1-100,2.25
3,50,նան,[No definition],unknown,1,1-100,1.35
3,51,այ,[No definition],unknown,2,1-100,2.25
3,57,որոնք,[No definition],unknown,2,1-100,2.25
3,60,նրանց,[No definition],unknown,2,1-100,2.25
3,62,սովետական,[No definition],unknown,4,1-100,4.05
3,63,աո,access-restricted; nayiri; com,unknown,2,1-100,2.25
3,65,որը,[No definition],unknown,2,1-100,2.25
3,66,էն,[No definition],unknown,1,1-100,1.35
3,67,նն,[No definition],unknown,2,1-100,2.25
3,69,դա,[No definition],unknown,1,1-100,1.35
3,72,չեն,[No definition],unknown,1,1-100,1.35
3,74,ամեն,[No definition],unknown,2,1-100,2.25
3,75,ինչպես,[No definition],unknown,2,1-100,2.25
3,76,սա,[No definition],unknown,1,1-100,1.35
3,78,մա,[No definition],unknown,1,1-100,1.35
3,79,մբ,[No definition],unknown,2,1-100,2.25
3,80,ունի,[No definition],unknown,2,1-100,2.25
4,81,սակայն,[No definition],unknown,3,1-100,3.15
4,85,աաա,[No definition],unknown,3,1-100,3.15
4,86,բա,[No definition],unknown,1,1-100,1.35
4,88,եվ,access-restricted; nayiri; com,unknown,1,1-100,1.35
4,89,տե,[No definition],unknown,1,1-100,1.35
4,91,որի,[No definition],unknown,2,1-100,2.25
4,92,աշխատանքի,[No definition],unknown,4,1-100,4.05
4,93,ամ,access-restricted; nayiri; com,unknown,1,1-100,1.35
4,96,ների,[No definition],unknown,2,1-100,2.25
4,99,անոր,[No definition],unknown,2,1-100,2.25
